Num‚ro porc;T0-T1;GR auto : 5-8(10,6/æL);HGB(g/L)(100-160);HCT(%)(32-50);MCV(fL) (VGM)(50-68);MCH(pg) (TCMH)(17-21);MCHC(%) (CCMH)(30-34);RDW-SD(fL);RDW-CV(%);RET#(K/uL);RET%(%)(0-1);IRF(%);PLT auto : 325-715(10,3/æl);GB : 11-22(10,3/æl);GNN auto : 3,1-10,5;Lymphocytes auto : 4,3-13;Monocytes auto : 0,2-2,2;GNE auto:0-2,4 ;GNB auto : 0-0,3
P115;T1;7;107;40,1;58,5;15,6;26,7;61,5;34,1;60;1;14;667;12,09;4,59;6,78;0,59;0,11;0,02
P116;T1;7;118;41,9;60,1;16,9;28,2;41;23;87;1;9;619;12,78;4,65;7,35;0,68;0,1;0
P117;T1;8;121;44;57,7;15,9;27,5;48,8;29;77;1;10;546;13,25;3,82;7,76;1,58;0,09;0
P118;T1;7;107;36,2;54,6;16,1;29,6;46;28,5;60;1;26;703;19,27;6,95;10,84;1,4;0,06;0,02
P119;T1;7;117;40,3;59,1;17,2;29;41,6;23,8;41;1;16;533;21,43;8,6;11,16;1,54;0,12;0,01
P120;T1;7;122;40,1;56,5;17,2;30,4;37,7;23,2;50;1;24;320;27,24;13,27;12,86;0,93;0,16;0,02
P121;T1;7;100;35,5;53,6;15,1;28,2;----;36;53;1;31;991;20,14;6,62;12,19;1,13;0,17;0,03
P123;T1;6;111;38,5;57,5;16,6;28,8;50,4;29,7;100;1;20;1079;15,25;4,64;9,67;0,8;0,09;0,05
P124;T1;7;137;47,2;63,9;18,5;29;45,8;24,2;109;1;16;340;20,52;10,08;9,25;0,95;0,21;0,03
P125;T1;6;113;39,4;68,2;19,6;28,7;51,5;23,6;64;1;7;424;8,4;3,39;4,54;0,41;0,05;0,01
P126;T1;6;120;44,3;70;19;27,1;57,5;26,1;37;1;31;585;17,42;8,04;8,15;1,12;0,1;0,01
P127;T1;7;111;38,1;51,5;15;29,1;----;35,6;36;0;34;260;18,56;6,26;11,32;0,86;0,08;0,04
P128;T1;7;117;38,6;55,8;16,9;30,3;41,1;25,1;72;1;14;593;12,17;4,69;6,53;0,77;0,16;0,02
P129;T1;7;102;34,9;53,3;15,6;29,2;53,3;33,4;22;0;52;409;18,54;6,67;10,78;1;0,08;0,01
P130;T1;8;120;40,9;53,6;15,7;29,3;56,5;33,7;30;0;32;564;14,57;4,38;8,66;1,43;0,1;0
P131;T1;7;112;38,2;55,8;16,4;29,3;46,7;28,1;45;1;19;696;15,03;4,87;9,1;1;0,06;0
P132;T1;7;114;40,3;58,4;16,5;28,3;50,3;29,1;46;1;21;640;20,6;7;12,16;1,26;0,18;0
P133;T1;7;106;37,1;54,9;15,7;28,6;48,2;29,9;50;1;21;633;19,53;9,55;8,41;1,37;0,19;0,01
P134;T1;7;116;39,8;58;16,9;29,1;54,4;30,9;56;1;44;365;26,36;10,14;14,24;1,83;0,13;0,02
P135;T1;8;117;41,3;50,8;14,4;28,3;56,4;36,8;15;0;90;740;18,12;4,47;12,91;0,66;0,06;0,02
P136;T1;7;118;37,9;50,7;15,8;31,1;42,2;28,8;16;0;72;520;16,8;6,35;9;1,26;0,18;0,01
P137;T1;7;110;36;54,6;16,7;30,6;42,9;27;127;2;20;608;32,44;15,33;14,93;2;0,17;0,01
P138;T1;7;105;36,5;55,2;15,9;28,8;44;28;38;1;41;622;26,36;10,12;14,69;1,36;0,18;0,01
P139;T1;7;121;43,1;59,4;16,7;28,1;47;28,1;33;0;47;804;18,7;10,5;7,07;1,09;0,03;0,01
P140;T1;7;130;41,9;56,2;17,4;31;44,5;27,3;37;0;30;551;18,51;8;9,2;1,17;0,13;0,01
P141;T1;8;128;44,3;58,2;16,8;28,9;52,6;30,1;57;1;43;586;22,84;9,12;11,94;1,55;0,22;0,01
P142;T1;7;111;40,1;56;15,5;27,7;49,1;29,4;82;1;32;524;26,48;14,03;11,07;1,25;0,09;0,04
P143;T1;6;125;40,5;64,6;19,9;30,9;44,9;23,7;36;1;36;650;15,68;6,62;8,22;0,76;0,08;0
P144;T1;7;128;41,6;60,3;18,6;30,8;45,1;25,3;77;1;28;495;19,83;9,42;8,94;1,32;0,14;0,01
P145;T1;7;98;34,9;49,7;14;28,1;----;38;11;0;90;542;14;4,3;8,87;0,71;0,11;0,01
P146;T1;7;112;40,3;55,4;15,4;27,8;58,6;33,2;31;0;31;613;15,82;4,48;10,33;0,87;0,13;0,01
P147;T1;7;121;43;59,6;16,8;28,1;45,8;25,8;97;1;13;718;15,01;5,14;9,2;0,53;0,14;0
P148;T1;7;123;43;59,2;16,9;28,6;43,5;25,3;72;1;18;541;13,61;5,06;7,92;0,48;0,15;0
P149;T1;7;101;36,8;54,1;14,9;27,4;65,4;36,8;16;0;26;690;7,84;2,44;4,94;0,41;0,04;0,01
P150;T1;7;101;34,9;51,9;15;28,9;53,2;32,2;63;1;14;724;11;2,88;7,5;0,5;0,11;0,01
P151;T1;7;90;33,2;46,4;12,6;27,1;----;44,7;9;0;93;544;12,76;2,94;9,37;0,35;0,09;0,01
P152;T1;7;90;32;49;13,8;28,1;----;41,5;9;0;60;670;8,51;1,93;6,21;0,34;0,02;0,01
P153;T1;7;93;35,1;50,8;13,5;26,5;----;42,5;221;3;3;936;9,58;2,01;6,82;0,63;0,11;0,01
P154;T1;7;104;37,7;51,3;14,1;27,6;----;35,3;22;0;34;501;10,78;3,06;7,02;0,51;0,16;0,03
P155;T1;7;100;33,5;51,5;15,4;29,9;----;38,8;99;2;9;986;12,18;2,84;8,65;0,55;0,14;0
P156;T1;6;99;35,3;55,9;15,7;28;----;37,5;113;2;15;661;24,32;8,26;14,03;1,99;0,03;0,01
P157;T1;7;110;39,7;56,1;15,5;27,7;65,9;35,7;62;1;15;443;14,96;6,04;8;0,73;0,18;0,01
P158;T1;6;86;29,9;46,5;13,4;28,8;----;38,4;8;0;72;521;15,05;8,14;5,88;0,94;0,08;0,01
P159;T1;6;109;38,9;61,1;17,1;28;42,7;23,7;119;2;12;451;13,02;4,22;8,12;0,6;0,08;0
P160;T1;8;98;36,4;48,1;12,9;26,9;----;37,2;20;0;67;630;17,17;3,64;12,67;0,64;0,2;0,02
P182;T1;6;122;42,7;66,5;19;28,6;48;24,1;57;1;17;543;19,42;8,28;9,38;1,59;0,15;0,02
P183;T1;7;107;36;55,2;16,4;29,7;47,2;28,4;32;0;47;506;17,24;7,26;8,65;1,19;0,11;0,03
P185;T1;6;106;37,6;59,7;16,8;28,2;50,6;28;136;2;14;667;21,78;8,39;11,33;1,77;0,27;0,02
P186;T1;7;119;42,5;62,4;17,5;28;58,2;30;48;1;37;541;16,48;6,52;8,83;0,96;0,17;0
